run,ratio,sampling_time_s,total_time_s
1,2.3317313931949855,7.99999907030724e-06,0.21005430000150227
2,2.4623630309925106,2.0999978005420417e-06,0.19987249999758205
3,2.2814759666881246,3.1999989005271345e-06,0.2000023999971745
4,2.0378973516479055,2.0999978005420417e-06,0.20223849999820231
5,2.406900750272273,1.8999999156221747e-06,0.19970699999976205
6,1.8395214000842999,1.8999999156221747e-06,0.1989054000005126
7,2.382213023855496,2.1999985619913787e-06,0.19981669999833684
8,2.079231962280485,2.7999994927085936e-06,0.19766879999951925
9,1.8953327849504362,2.5999979698099196e-06,0.20064859999911278
10,1.817599775695374,2.7999994927085936e-06,0.2003493999982311
11,1.709530374187821,2.1999985619913787e-06,0.19774459999825922
12,2.1003762085705553,2.5000008463393897e-06,0.2013236999991932
13,1.8138299677412224,1.8999999156221747e-06,0.19899589999840828
14,2.8679607430372007,2.3000029614195228e-06,0.2005343000018911
15,3.0440731255330427,2.4000000848900527e-06,0.1995900999972946
16,2.2474472181503025,2.5000008463393897e-06,0.19821090000186814
17,2.0427415019679707,1.8999999156221747e-06,0.20475040000019362
18,2.5009917084083,1.8000027921516448e-06,0.2049451000020781
19,2.1447890635008755,2.7999994927085936e-06,0.20249709999916377
20,1.5988593596508407,2.4999972083605826e-06,0.211137599999347
21,2.0899526500046384,1.8999999156221747e-06,0.19881449999957113
