run,ratio,sampling_time_s,total_time_s
1,1.4963913090454064,8.099999831756577e-06,0.20925339999848802
2,1.4331318995591456,2.599999788799323e-06,0.20411269999931392
3,1.534777264419756,2.4000000848900527e-06,0.2058433000001969
4,1.3780819881200979,3.499999365885742e-06,0.20368079999934707
5,1.2935236144426894,2.899998435168527e-06,0.20380139999906532
6,1.3643957332573946,2.200000380980782e-06,0.20393719999992754
7,1.411737351209532,3.1999989005271345e-06,0.20567119999941497
8,1.5289863344126333,2.499999027349986e-06,0.20358579999992799
9,1.3840471380726358,2.6999987312592566e-06,0.20356129999890982
10,1.5330671428085407,3.099999958067201e-06,0.20527000000038242
11,1.5417375545735434,2.7999994927085936e-06,0.20363410000027216
12,1.4769540788098952,2.499999027349986e-06,0.2034014999990177
13,1.3887336573481208,3.099999958067201e-06,0.20919379999941157
14,1.4495697677772261,3.200000719516538e-06,0.20415940000020782
15,1.4981308867759353,2.9000002541579306e-06,0.20440969999981462
16,1.6564219140318035,2.7999994927085936e-06,0.20471480000014708
17,1.2917109693903372,3.300001480965875e-06,0.2046528999999282
18,1.4945977224566354,3.0000010156072676e-06,0.2040742000008322
19,1.4196633735794897,2.9000002541579306e-06,0.20483409999906144
20,1.631245209143999,3.099999958067201e-06,0.204374299999472
21,1.4775034241635625,2.70000055024866e-06,0.20497720000093977
