run,ratio,sampling_time_s,total_time_s
1,1.155601076544589,6.999998731771484e-06,0.3975602999998955
2,1.1151127450220728,2.5000008463393897e-06,0.3829602000005252
3,1.081485105579754,3.8000034692231566e-06,0.38799090000247816
4,1.1001635412500503,1.8000027921516448e-06,0.40156930000011926
5,1.0725569316274812,4.2000028770416975e-06,0.38582010000027367
6,1.1036866583713796,1.7999991541728377e-06,0.3689782999972522
7,1.1591144443143717,4.0000013541430235e-06,0.3948610000006738
8,1.0626767013355842,2.0000006770715117e-06,0.3978755000025558
9,1.1857211683319653,1.7999991541728377e-06,0.3988860999997996
10,1.080899010564899,1.8999999156221747e-06,0.3902756000024965
11,1.0702363788837883,2.0000006770715117e-06,0.4096010000030219
12,1.1084733778355644,1.8999999156221747e-06,0.37778460000117775
13,1.138560053876399,2.2000021999701858e-06,0.4024874999995518
14,1.2214957278026002,1.7999991541728377e-06,0.39057420000244747
15,1.0983141176047826,2.7999994927085936e-06,0.4137437999997928
16,1.093280919891383,2.5000008463393897e-06,0.36346530000082566
17,1.1470932923436814,3.999997716164216e-06,0.37714479999704054
18,1.109548085371544,2.2000021999701858e-06,0.4148179000003438
19,1.0964977278848405,2.0999978005420417e-06,0.3883533999978681
20,1.0918496927372967,2.2000021999701858e-06,0.4838216999996803
21,1.1004588616760729,2.0999978005420417e-06,0.3743919999978971
