run,ratio,sampling_time_s,total_time_s
1,1.1500690244356113,2.6999987312592566e-06,0.3750363999988622
2,1.1756516887618298,2.0000006770715117e-06,0.37370110000119894
3,1.1226205009350445,2.099999619531445e-06,0.36461359999884735
4,1.1029686015265765,2.099999619531445e-06,0.36069789999964996
5,1.1397802258620804,1.8999999156221747e-06,0.35960030000023835
6,1.1386457819080176,1.7000002117129043e-06,0.36200759999883303
7,1.1159804474164094,2.200000380980782e-06,0.36511090000021795
8,1.1644962133163606,2.6999987312592566e-06,0.35629139999946347
9,1.138804190248376,1.8999999156221747e-06,0.3587201999998797
10,1.1376992568893718,2.2999993234407157e-06,0.35682599999927334
11,1.1204751757779794,2.099999619531445e-06,0.35817189999943366
12,1.117957812842051,2.0000006770715117e-06,0.3576809999995021
13,1.181107217699277,1.8000009731622413e-06,0.3608328000009351
14,1.110509358969814,2.2999993234407157e-06,0.35949210000035237
15,1.099852793716389,2.599999788799323e-06,0.36903800000072806
16,1.1745881310353337,1.8999999156221747e-06,0.3692121000003681
17,1.130547493691103,2.0000006770715117e-06,0.3570641999995132
18,1.1359339342124395,2.3000011424301192e-06,0.3581346000009944
19,1.1617347744828088,2.5000008463393897e-06,0.359553500000402
20,1.1424190076709237,1.7999991541728377e-06,0.3587210999994568
21,1.1072025531672904,1.8000009731622413e-06,0.3588190999998915
