run,size,ratio,sampling_time_s,total_time_s
1,1000,13.657356537727052,1.2950753000004624,1.3140418000002683
2,1000,19.400914631917782,0.8124023999989731,0.8350958000009996
3,1000,16.246658751653843,0.7777354999998352,0.859248500000831
4,1000,5.183579704403012,0.9166499999992084,1.0672398999995494
5,1000,14.541201734709803,0.8079806999994616,0.8226552000014635
6,1000,7.652482909407554,0.7826021000000765,0.8139521000011882
7,1000,15.027820654483413,0.7832969999981287,0.80195090000052
8,1000,18.978507989952544,0.7817596999993839,0.8325280999997631
9,1000,10.620560578447181,0.7899240000006102,0.8312038999974902
10,1000,13.909020635454693,0.8827774000019417,0.9336896000022534
11,1000,8.957807804235838,0.8736146000010194,0.8932703999998921
12,1000,21.5959686835685,0.8069928000004438,0.8250404000027629
13,1000,11.854876908064172,0.7800773000017216,0.7968314000027021
14,1000,18.74417605180339,0.7800787999985914,0.7958164999981818
15,1000,44.22437114343943,0.776902000001428,0.8113117000029888
16,1000,37.919671798938154,0.782177999997657,0.8019045000000915
17,1000,16.618248859271606,0.7799717000016244,0.7925283000004129
18,1000,12.713550700188122,0.7805431999986467,0.7919051999997464
19,1000,39.77721574297877,0.7812387999983912,0.8813464000013482
20,1000,8.857218196602101,0.7806373999992502,1.0076049999988754
21,1000,18.738421806874456,0.7825815999967745,0.7962097999989055
1,2000,18.918127303825223,0.7945207000011578,0.8244835000004969
2,2000,14.61238300417444,0.806589099996927,0.8298331999976654
3,2000,23.035261802363323,0.782439799997519,0.8420688999976846
4,2000,223.08159027654025,0.7851883000002999,0.8169192999994266
5,2000,9.20870492543512,0.7781519999989541,0.8560737999978301
6,2000,6.294305060562289,0.807121100002405,0.8892818000022089
7,2000,40.31873203919578,0.8423733999989054,0.9990489000010712
8,2000,16.027132785737475,0.7911536000028718,0.820262700002786
9,2000,12.770299978685435,0.8077245999993465,0.8438227999977244
10,2000,10.39782556498675,0.78206979999959,0.9733434999980091
11,2000,19.126266714374673,0.8901693000007072,0.9175505000021076
12,2000,14.342440688019988,0.7845219999981055,0.8154237999988254
13,2000,9.152714757762766,0.8392686999977741,0.8880840999991051
14,2000,50.462138577744504,0.7830642000008083,0.8129687000000558
15,2000,24.9101894449106,0.8881470000014815,0.9221209999996063
16,2000,31.07478171944561,0.8935179000000062,0.920900499997515
17,2000,16.66230849839669,0.8068328999979713,0.8301647000007506
18,2000,139.71725302582308,0.7831619999997201,0.9999802999991516
19,2000,27.927364038808683,0.780699500002811,0.8377147000028344
20,2000,13.061836905137259,0.7962172000006831,0.8236513000010746
21,2000,25.527907541702238,0.7797736000029545,0.8077494999997725
1,3000,69.55902334989513,0.7842401999987487,0.8820438000002468
2,3000,96.96188557283367,0.7795267000001331,0.95140850000098
