run,ratio,sampling_time_s,total_time_s
1,2.0302496252681737,9.800000043469481e-06,0.36476109999966866
2,1.722159290256305,4.099999387108255e-06,0.37044779999996535
3,1.9056492603571478,4.100000296602957e-06,0.37641960000019026
4,1.6216673506902146,2.70000055024866e-06,0.39101320000008855
5,2.1420790814326205,2.3000002329354174e-06,0.3905798000005234
6,1.751934869175659,2.4000000848900527e-06,0.3918593999997029
7,1.8574520423592367,3.000000106112566e-06,0.36798369999996794
8,1.9608308754622856,2.4000000848900527e-06,0.3623735000001034
9,2.0010114735452005,2.599999788799323e-06,0.37611550000019633
10,1.7417186864024328,2.3000002329354174e-06,0.37047510000047623
11,1.6824706365342001,2.499999936844688e-06,0.3739433000000645
12,1.994925252673195,2.899999344663229e-06,0.37506020000000717
13,1.968521876176074,2.4000000848900527e-06,0.3846400000002177
14,2.156636615673137,4.399999852466863e-06,0.36989859999994223
15,1.93947263474877,4.70000031782547e-06,0.37894799999958195
16,1.9077595332117292,2.1999994714860804e-06,0.37055099999997765
17,1.7739315877905206,2.3000002329354174e-06,0.3921557000003304
18,1.9488800467941108,2.499999936844688e-06,0.46171530000083294
19,1.9269912176614077,4.100000296602957e-06,0.3761571000004551
20,1.8154090287371483,2.4000000848900527e-06,0.38610549999975774
21,1.7145453947596847,5.599999894911889e-06,0.403045199999724
